============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
36077         BOWLER        Mohammad Wasim Jr.        BOWL_START
36083         BOWLER        Mohammad Wasim Jr.        BOWL_END
36088         STRIKER       Suryakumar Yadav          BAT_START
36099         STRIKER       Suryakumar Yadav          BAT_END
36101         STRIKER       Suryakumar Yadav          RUN_START
36103         NON_STRIKER   Rishabh Pant              RUN_START
36103         FIELDER       Fakhar Zaman              CATCH
38106         NON_STRIKER   Rishabh Pant              RUN_END
38136         STRIKER       Suryakumar Yadav          RUN_END
38307         BOWLER        Mohammad Wasim Jr.        BOWL_START
38311         BOWLER        Mohammad Wasim Jr.        BOWL_END
38314         STRIKER       Rishabh Pant              BAT_START
38324         STRIKER       Rishabh Pant              BAT_END
38325         STRIKER       Rishabh Pant              RUN_START
38327         NON_STRIKER   Suryakumar Yadav          RUN_START
38325         FIELDER       Fakhar Zaman              CATCH
39910         STRIKER       Rishabh Pant              RUN_END
40448         NON_STRIKER   Suryakumar Yadav          RUN_END
40554         BOWLER        Mohammad Wasim Jr.        BOWL_START
40555         BOWLER        Mohammad Wasim Jr.        BOWL_END
40563         STRIKER       Hardik Pandya             BAT_START
40575         STRIKER       Hardik Pandya             BAT_END
40576         STRIKER       Hardik Pandya             RUN_START
40580         FIELDER       Shaheen Afridi            CATCH
40632         NON_STRIKER   Suryakumar Yadav          RUN_START
41831         STRIKER       Hardik Pandya             RUN_END
42938         NON_STRIKER   Suryakumar Yadav          RUN_END
43168         BOWLER        Mohammad Wasim Jr.        BOWL_START
43179         BOWLER        Mohammad Wasim Jr.        BOWL_END
43187         STRIKER       Suryakumar Yadav          BAT_START
43200         STRIKER       Suryakumar Yadav          BAT_END
43200         NON_STRIKER   Hardik Pandya             RUN_START
43202         STRIKER       Suryakumar Yadav          RUN_START
43201         FIELDER       Naseem Shah               CATCH
46008         STRIKER       Suryakumar Yadav          RUN_END
46211         NON_STRIKER   Hardik Pandya             RUN_END
46338         BOWLER        Shaheen Afridi            BOWL_START
46340         BOWLER        Shaheen Afridi            BOWL_END
46400         STRIKER       Suryakumar Yadav          BAT_START
46410         STRIKER       Suryakumar Yadav          BAT_END
46411         STRIKER       Suryakumar Yadav          RUN_START
46413         FIELDER       Haris Rauf                CATCH
46421         NON_STRIKER   Hardik Pandya             RUN_START
47805         STRIKER       Suryakumar Yadav          RUN_END
48886         NON_STRIKER   Hardik Pandya             RUN_END
49000         BOWLER        Shaheen Afridi            BOWL_START
49005         BOWLER        Shaheen Afridi            BOWL_END
49007         STRIKER       Suryakumar Yadav          BAT_START
49011         STRIKER       Suryakumar Yadav          BAT_END
49012         STRIKER       Suryakumar Yadav          RUN_START
49012         NON_STRIKER   Hardik Pandya             RUN_START
49012         FIELDER       Iftikhar Ahmed            CATCH
50487         STRIKER       Suryakumar Yadav          RUN_END
51660         NON_STRIKER   Hardik Pandya             RUN_END
51854         BOWLER        Shaheen Afridi            BOWL_START
51858         BOWLER        Shaheen Afridi            BOWL_END
51860         STRIKER       Hardik Pandya             BAT_START
51866         STRIKER       Hardik Pandya             BAT_END
51866         STRIKER       Hardik Pandya             RUN_START
51868         FIELDER       Shadab Khan               CATCH
51882         NON_STRIKER   Suryakumar Yadav          RUN_START
53708         STRIKER       Hardik Pandya             RUN_END
53781         NON_STRIKER   Suryakumar Yadav          RUN_END
53952         BOWLER        Shaheen Afridi            BOWL_START
53953         BOWLER        Shaheen Afridi            BOWL_END
53955         STRIKER       Ravindra Jadeja           BAT_START
53962         STRIKER       Ravindra Jadeja           BAT_END
53963         STRIKER       Ravindra Jadeja           RUN_START
53963         FIELDER       Shadab Khan               CATCH
53968         NON_STRIKER   Suryakumar Yadav          RUN_START
56335         STRIKER       Ravindra Jadeja           RUN_END
56968         NON_STRIKER   Suryakumar Yadav          RUN_END
57173         BOWLER        Shaheen Afridi            BOWL_START
57176         BOWLER        Shaheen Afridi            BOWL_END
57179         STRIKER       Ravindra Jadeja           BAT_START
57189         STRIKER       Ravindra Jadeja           BAT_END
57190         STRIKER       Ravindra Jadeja           RUN_START
57191         FIELDER       Azam Khan                 CATCH
57192         NON_STRIKER   Suryakumar Yadav          RUN_START
58923         NON_STRIKER   Suryakumar Yadav          RUN_END
59842         STRIKER       Ravindra Jadeja           RUN_END
60043         BOWLER        Shaheen Afridi            BOWL_START
60046         BOWLER        Shaheen Afridi            BOWL_END
60053         STRIKER       Ravindra Jadeja           BAT_START
60059         STRIKER       Ravindra Jadeja           BAT_END
60060         FIELDER       Imad Wasim                CATCH
60060         STRIKER       Ravindra Jadeja           RUN_START
60074         NON_STRIKER   Suryakumar Yadav          RUN_START
