============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
161412        BOWLER        Naseem Shah               BOWL_START
161419        BOWLER        Naseem Shah               BOWL_END
161428        STRIKER       Axar Patel                BAT_START
161451        STRIKER       Axar Patel                BAT_END
161453        STRIKER       Axar Patel                RUN_START
161454        FIELDER       Shaheen Afridi            CATCH
161492        NON_STRIKER   Suryakumar Yadav          RUN_START
163703        NON_STRIKER   Suryakumar Yadav          RUN_END
164073        STRIKER       Axar Patel                RUN_END
164340        BOWLER        Naseem Shah               BOWL_START
164346        BOWLER        Naseem Shah               BOWL_END
164352        STRIKER       Axar Patel                BAT_START
164364        STRIKER       Axar Patel                BAT_END
164365        FIELDER       Shadab Khan               CATCH
164370        NON_STRIKER   Suryakumar Yadav          RUN_START
164366        STRIKER       Axar Patel                RUN_START
165471        STRIKER       Axar Patel                RUN_END
167354        NON_STRIKER   Suryakumar Yadav          RUN_END
167496        BOWLER        Naseem Shah               BOWL_START
167502        BOWLER        Naseem Shah               BOWL_END
167511        STRIKER       Axar Patel                BAT_START
167532        FIELDER       Shadab Khan               CATCH
167532        STRIKER       Axar Patel                BAT_END
167546        STRIKER       Axar Patel                RUN_START
167542        NON_STRIKER   Suryakumar Yadav          RUN_START
169402        STRIKER       Axar Patel                RUN_END
170049        NON_STRIKER   Suryakumar Yadav          RUN_END
170262        BOWLER        Naseem Shah               BOWL_START
170270        BOWLER        Naseem Shah               BOWL_END
170276        STRIKER       Suryakumar Yadav          BAT_START
170290        STRIKER       Suryakumar Yadav          BAT_END
170291        FIELDER       Fakhar Zaman              CATCH
170292        NON_STRIKER   Axar Patel                RUN_START
170292        STRIKER       Suryakumar Yadav          RUN_START
171752        STRIKER       Suryakumar Yadav          RUN_END
173104        NON_STRIKER   Axar Patel                RUN_END
173274        BOWLER        Naseem Shah               BOWL_START
173282        STRIKER       Suryakumar Yadav          BAT_START
173283        BOWLER        Naseem Shah               BOWL_END
173290        STRIKER       Suryakumar Yadav          BAT_END
173292        FIELDER       Haris Rauf                CATCH
173292        STRIKER       Suryakumar Yadav          RUN_START
173313        NON_STRIKER   Axar Patel                RUN_START
174874        NON_STRIKER   Axar Patel                RUN_END
176256        STRIKER       Suryakumar Yadav          RUN_END
176409        BOWLER        Naseem Shah               BOWL_START
176420        BOWLER        Naseem Shah               BOWL_END
176423        STRIKER       Axar Patel                BAT_START
176433        STRIKER       Axar Patel                BAT_END
176434        STRIKER       Axar Patel                RUN_START
176435        NON_STRIKER   Suryakumar Yadav          RUN_START
176436        FIELDER       Mohammad Rizwan           CATCH
178021        STRIKER       Axar Patel                RUN_END
178159        NON_STRIKER   Suryakumar Yadav          RUN_END
178288        BOWLER        Haris Rauf                BOWL_START
178292        BOWLER        Haris Rauf                BOWL_END
178297        STRIKER       Suryakumar Yadav          BAT_START
178305        STRIKER       Suryakumar Yadav          BAT_END
178307        STRIKER       Suryakumar Yadav          RUN_START
178307        FIELDER       Mohammad Rizwan           CATCH
178308        NON_STRIKER   Axar Patel                RUN_START
179633        STRIKER       Suryakumar Yadav          RUN_END
180769        NON_STRIKER   Axar Patel                RUN_END
180929        BOWLER        Haris Rauf                BOWL_START
180932        BOWLER        Haris Rauf                BOWL_END
180938        STRIKER       Suryakumar Yadav          BAT_START
180950        STRIKER       Suryakumar Yadav          BAT_END
180951        FIELDER       Babar Azam                CATCH
180952        STRIKER       Suryakumar Yadav          RUN_START
180961        NON_STRIKER   Axar Patel                RUN_START
182796        STRIKER       Suryakumar Yadav          RUN_END
183873        NON_STRIKER   Axar Patel                RUN_END
184025        BOWLER        Haris Rauf                BOWL_START
184032        BOWLER        Haris Rauf                BOWL_END
184036        STRIKER       Suryakumar Yadav          BAT_START
184046        STRIKER       Suryakumar Yadav          BAT_END
184048        STRIKER       Suryakumar Yadav          RUN_START
184048        FIELDER       Imad Wasim                CATCH
184057        NON_STRIKER   Axar Patel                RUN_START
185265        NON_STRIKER   Axar Patel                RUN_END
186908        STRIKER       Suryakumar Yadav          RUN_END
187044        BOWLER        Haris Rauf                BOWL_START
187047        BOWLER        Haris Rauf                BOWL_END
187050        STRIKER       Suryakumar Yadav          BAT_START
187060        STRIKER       Suryakumar Yadav          BAT_END
187060        NON_STRIKER   Axar Patel                RUN_START
187062        STRIKER       Suryakumar Yadav          RUN_START
187062        FIELDER       Fakhar Zaman              CATCH
188779        STRIKER       Suryakumar Yadav          RUN_END
189315        NON_STRIKER   Axar Patel                RUN_END
189471        BOWLER        Haris Rauf                BOWL_START
189479        BOWLER        Haris Rauf                BOWL_END
189486        STRIKER       Suryakumar Yadav          BAT_START
189509        STRIKER       Suryakumar Yadav          BAT_END
189511        STRIKER       Suryakumar Yadav          RUN_START
189521        FIELDER       Shaheen Afridi            CATCH
189524        NON_STRIKER   Axar Patel                RUN_START
191238        NON_STRIKER   Axar Patel                RUN_END
191275        STRIKER       Suryakumar Yadav          RUN_END
191388        BOWLER        Haris Rauf                BOWL_START
191392        BOWLER        Haris Rauf                BOWL_END
191393        STRIKER       Axar Patel                BAT_START
191399        STRIKER       Axar Patel                BAT_END
191401        STRIKER       Axar Patel                RUN_START
191403        FIELDER       Mohammad Wasim Jr.        CATCH
191431        NON_STRIKER   Suryakumar Yadav          RUN_START
192941        NON_STRIKER   Suryakumar Yadav          RUN_END
193143        STRIKER       Axar Patel                RUN_END
193329        BOWLER        Shadab Khan               BOWL_START
193338        BOWLER        Shadab Khan               BOWL_END
193345        STRIKER       Suryakumar Yadav          BAT_START
193362        STRIKER       Suryakumar Yadav          BAT_END
193364        STRIKER       Suryakumar Yadav          RUN_START
193366        FIELDER       Mohammad Wasim Jr.        CATCH
193365        NON_STRIKER   Axar Patel                RUN_START
194761        STRIKER       Suryakumar Yadav          RUN_END
195376        NON_STRIKER   Axar Patel                RUN_END
195538        BOWLER        Shadab Khan               BOWL_START
195544        BOWLER        Shadab Khan               BOWL_END
195551        STRIKER       Suryakumar Yadav          BAT_START
195572        STRIKER       Suryakumar Yadav          BAT_END
195574        STRIKER       Suryakumar Yadav          RUN_START
195577        FIELDER       Mohammad Rizwan           CATCH
195616        NON_STRIKER   Axar Patel                RUN_START
197876        NON_STRIKER   Axar Patel                RUN_END
198387        STRIKER       Suryakumar Yadav          RUN_END
198549        BOWLER        Shadab Khan               BOWL_START
198551        BOWLER        Shadab Khan               BOWL_END
198554        STRIKER       Axar Patel                BAT_START
198560        STRIKER       Axar Patel                BAT_END
198562        STRIKER       Axar Patel                RUN_START
198562        NON_STRIKER   Suryakumar Yadav          RUN_START
198564        FIELDER       Naseem Shah               CATCH
199817        STRIKER       Axar Patel                RUN_END
201330        NON_STRIKER   Suryakumar Yadav          RUN_END
201495        BOWLER        Shadab Khan               BOWL_START
201501        BOWLER        Shadab Khan               BOWL_END
201508        STRIKER       Suryakumar Yadav          BAT_START
201521        STRIKER       Suryakumar Yadav          BAT_END
201522        FIELDER       Iftikhar Ahmed            CATCH
201523        STRIKER       Suryakumar Yadav          RUN_START
201538        NON_STRIKER   Axar Patel                RUN_START
202608        NON_STRIKER   Axar Patel                RUN_END
203622        STRIKER       Suryakumar Yadav          RUN_END
203753        BOWLER        Shadab Khan               BOWL_START
203758        BOWLER        Shadab Khan               BOWL_END
203771        STRIKER       Suryakumar Yadav          BAT_START
203794        STRIKER       Suryakumar Yadav          BAT_END
203796        STRIKER       Suryakumar Yadav          RUN_START
203797        FIELDER       Naseem Shah               CATCH
203812        NON_STRIKER   Axar Patel                RUN_START
204901        STRIKER       Suryakumar Yadav          RUN_END
205792        NON_STRIKER   Axar Patel                RUN_END
205942        BOWLER        Shadab Khan               BOWL_START
205946        BOWLER        Shadab Khan               BOWL_END
205951        STRIKER       Suryakumar Yadav          BAT_START
205958        STRIKER       Suryakumar Yadav          BAT_END
205959        STRIKER       Suryakumar Yadav          RUN_START
205961        FIELDER       Shaheen Afridi            CATCH
205993        NON_STRIKER   Axar Patel                RUN_START
207548        STRIKER       Suryakumar Yadav          RUN_END
207708        NON_STRIKER   Axar Patel                RUN_END
207928        BOWLER        Imad Wasim                BOWL_START
207933        BOWLER        Imad Wasim                BOWL_END
207935        STRIKER       Axar Patel                BAT_START
207946        STRIKER       Axar Patel                BAT_END
207947        STRIKER       Axar Patel                RUN_START
207950        FIELDER       Azam Khan                 CATCH
207952        NON_STRIKER   Suryakumar Yadav          RUN_START
209651        NON_STRIKER   Suryakumar Yadav          RUN_END
210330        STRIKER       Axar Patel                RUN_END
210660        BOWLER        Imad Wasim                BOWL_START
210665        BOWLER        Imad Wasim                BOWL_END
210672        STRIKER       Axar Patel                BAT_START
210685        STRIKER       Axar Patel                BAT_END
210686        STRIKER       Axar Patel                RUN_START
210689        NON_STRIKER   Suryakumar Yadav          RUN_START
210689        FIELDER       Iftikhar Ahmed            CATCH
211833        NON_STRIKER   Suryakumar Yadav          RUN_END
212775        STRIKER       Axar Patel                RUN_END
212875        BOWLER        Imad Wasim                BOWL_START
212879        BOWLER        Imad Wasim                BOWL_END
212880        STRIKER       Axar Patel                BAT_START
212889        STRIKER       Axar Patel                BAT_END
212890        STRIKER       Axar Patel                RUN_START
212892        NON_STRIKER   Suryakumar Yadav          RUN_START
212893        FIELDER       Naseem Shah               CATCH
214716        STRIKER       Axar Patel                RUN_END
214882        NON_STRIKER   Suryakumar Yadav          RUN_END
215020        BOWLER        Imad Wasim                BOWL_START
215024        BOWLER        Imad Wasim                BOWL_END
215029        STRIKER       Axar Patel                BAT_START
215038        STRIKER       Axar Patel                BAT_END
215039        STRIKER       Axar Patel                RUN_START
215043        FIELDER       Fakhar Zaman              CATCH
215046        NON_STRIKER   Suryakumar Yadav          RUN_START
216202        NON_STRIKER   Suryakumar Yadav          RUN_END
217838        STRIKER       Axar Patel                RUN_END
217950        BOWLER        Imad Wasim                BOWL_START
217956        BOWLER        Imad Wasim                BOWL_END
217966        STRIKER       Suryakumar Yadav          BAT_START
217977        STRIKER       Suryakumar Yadav          BAT_END
217979        STRIKER       Suryakumar Yadav          RUN_START
217980        NON_STRIKER   Axar Patel                RUN_START
217981        FIELDER       Haris Rauf                CATCH
219509        NON_STRIKER   Axar Patel                RUN_END
219566        STRIKER       Suryakumar Yadav          RUN_END
219726        BOWLER        Imad Wasim                BOWL_START
219731        BOWLER        Imad Wasim                BOWL_END
219738        STRIKER       Axar Patel                BAT_START
219751        FIELDER       Shadab Khan               CATCH
219752        STRIKER       Axar Patel                BAT_END
219763        STRIKER       Axar Patel                RUN_START
219764        NON_STRIKER   Suryakumar Yadav          RUN_START
221381        STRIKER       Axar Patel                RUN_END
221638        NON_STRIKER   Suryakumar Yadav          RUN_END
221791        BOWLER        Mohammad Wasim Jr.        BOWL_START
221792        BOWLER        Mohammad Wasim Jr.        BOWL_END
221793        STRIKER       Suryakumar Yadav          BAT_START
221800        STRIKER       Suryakumar Yadav          BAT_END
221801        FIELDER       Fakhar Zaman              CATCH
221801        STRIKER       Suryakumar Yadav          RUN_START
221806        NON_STRIKER   Axar Patel                RUN_START
222972        NON_STRIKER   Axar Patel                RUN_END
223586        STRIKER       Suryakumar Yadav          RUN_END
223781        BOWLER        Mohammad Wasim Jr.        BOWL_START
223784        BOWLER        Mohammad Wasim Jr.        BOWL_END
223800        STRIKER       Suryakumar Yadav          BAT_START
223816        FIELDER       Haris Rauf                CATCH
223817        STRIKER       Suryakumar Yadav          BAT_END
223818        STRIKER       Suryakumar Yadav          RUN_START
223867        NON_STRIKER   Axar Patel                RUN_START
225686        NON_STRIKER   Axar Patel                RUN_END
225975        STRIKER       Suryakumar Yadav          RUN_END
226084        BOWLER        Mohammad Wasim Jr.        BOWL_START
226086        BOWLER        Mohammad Wasim Jr.        BOWL_END
226088        STRIKER       Axar Patel                BAT_START
226147        STRIKER       Axar Patel                BAT_END
226149        STRIKER       Axar Patel                RUN_START
226149        FIELDER       Babar Azam                CATCH
226167        NON_STRIKER   Suryakumar Yadav          RUN_START
227267        NON_STRIKER   Suryakumar Yadav          RUN_END
227697        STRIKER       Axar Patel                RUN_END
227822        BOWLER        Mohammad Wasim Jr.        BOWL_START
227826        BOWLER        Mohammad Wasim Jr.        BOWL_END
227828        STRIKER       Suryakumar Yadav          BAT_START
227834        STRIKER       Suryakumar Yadav          BAT_END
227835        STRIKER       Suryakumar Yadav          RUN_START
227835        NON_STRIKER   Axar Patel                RUN_START
227837        FIELDER       Shadab Khan               CATCH
230368        STRIKER       Suryakumar Yadav          RUN_END
230625        NON_STRIKER   Axar Patel                RUN_END
230797        BOWLER        Mohammad Wasim Jr.        BOWL_START
230800        BOWLER        Mohammad Wasim Jr.        BOWL_END
230803        STRIKER       Suryakumar Yadav          BAT_START
230810        STRIKER       Suryakumar Yadav          BAT_END
230812        STRIKER       Suryakumar Yadav          RUN_START
230812        FIELDER       Babar Azam                CATCH
230826        NON_STRIKER   Axar Patel                RUN_START
231982        NON_STRIKER   Axar Patel                RUN_END
232332        STRIKER       Suryakumar Yadav          RUN_END
232427        BOWLER        Mohammad Wasim Jr.        BOWL_START
232430        BOWLER        Mohammad Wasim Jr.        BOWL_END
232433        STRIKER       Axar Patel                BAT_START
232443        STRIKER       Axar Patel                BAT_END
232443        STRIKER       Axar Patel                RUN_START
232446        FIELDER       Shaheen Afridi            CATCH
232455        NON_STRIKER   Suryakumar Yadav          RUN_START
234329        NON_STRIKER   Suryakumar Yadav          RUN_END
234537        STRIKER       Axar Patel                RUN_END
234713        BOWLER        Shaheen Afridi            BOWL_START
234715        BOWLER        Shaheen Afridi            BOWL_END
234723        STRIKER       Suryakumar Yadav          BAT_START
234737        STRIKER       Suryakumar Yadav          BAT_END
234738        STRIKER       Suryakumar Yadav          RUN_START
234740        FIELDER       Mohammad Rizwan           CATCH
234765        NON_STRIKER   Axar Patel                RUN_START
236682        STRIKER       Suryakumar Yadav          RUN_END
236939        NON_STRIKER   Axar Patel                RUN_END
237056        BOWLER        Shaheen Afridi            BOWL_START
237058        BOWLER        Shaheen Afridi            BOWL_END
237061        STRIKER       Suryakumar Yadav          BAT_START
237079        STRIKER       Suryakumar Yadav          BAT_END
237082        STRIKER       Suryakumar Yadav          RUN_START
237082        FIELDER       Imad Wasim                CATCH
237084        NON_STRIKER   Axar Patel                RUN_START
238252        NON_STRIKER   Axar Patel                RUN_END
239831        STRIKER       Suryakumar Yadav          RUN_END
239941        BOWLER        Shaheen Afridi            BOWL_START
239948        BOWLER        Shaheen Afridi            BOWL_END
239952        STRIKER       Suryakumar Yadav          BAT_START
239964        STRIKER       Suryakumar Yadav          BAT_END
239965        STRIKER       Suryakumar Yadav          RUN_START
239966        FIELDER       Iftikhar Ahmed            CATCH
239996        NON_STRIKER   Axar Patel                RUN_START
241364        STRIKER       Suryakumar Yadav          RUN_END
242021        NON_STRIKER   Axar Patel                RUN_END
242170        BOWLER        Shaheen Afridi            BOWL_START
242174        BOWLER        Shaheen Afridi            BOWL_END
242181        STRIKER       Axar Patel                BAT_START
242192        STRIKER       Axar Patel                BAT_END
242195        STRIKER       Axar Patel                RUN_START
242193        FIELDER       Shadab Khan               CATCH
242207        NON_STRIKER   Suryakumar Yadav          RUN_START
244824        NON_STRIKER   Suryakumar Yadav          RUN_END
244891        STRIKER       Axar Patel                RUN_END
245034        BOWLER        Shaheen Afridi            BOWL_START
245036        BOWLER        Shaheen Afridi            BOWL_END
245037        STRIKER       Suryakumar Yadav          BAT_START
245048        STRIKER       Suryakumar Yadav          BAT_END
245049        NON_STRIKER   Axar Patel                RUN_START
245050        STRIKER       Suryakumar Yadav          RUN_START
245052        FIELDER       Shadab Khan               CATCH
246505        STRIKER       Suryakumar Yadav          RUN_END
247851        NON_STRIKER   Axar Patel                RUN_END
247983        BOWLER        Shaheen Afridi            BOWL_START
247988        BOWLER        Shaheen Afridi            BOWL_END
247990        STRIKER       Suryakumar Yadav          BAT_START
247996        STRIKER       Suryakumar Yadav          BAT_END
247997        STRIKER       Suryakumar Yadav          RUN_START
247997        FIELDER       Shadab Khan               CATCH
248005        NON_STRIKER   Axar Patel                RUN_START
249174        NON_STRIKER   Axar Patel                RUN_END
250600        STRIKER       Suryakumar Yadav          RUN_END
251229        BOWLER        Naseem Shah               BOWL_START
251237        BOWLER        Naseem Shah               BOWL_END
251304        STRIKER       Suryakumar Yadav          BAT_START
251331        STRIKER       Suryakumar Yadav          BAT_END
251334        FIELDER       Mohammad Rizwan           CATCH
251334        STRIKER       Suryakumar Yadav          RUN_START
251359        NON_STRIKER   Axar Patel                RUN_START
252743        NON_STRIKER   Axar Patel                RUN_END
253082        STRIKER       Suryakumar Yadav          RUN_END
253265        BOWLER        Naseem Shah               BOWL_START
253270        BOWLER        Naseem Shah               BOWL_END
253279        STRIKER       Axar Patel                BAT_START
253301        STRIKER       Axar Patel                BAT_END
253302        FIELDER       Babar Azam                CATCH
253303        STRIKER       Axar Patel                RUN_START
253306        NON_STRIKER   Suryakumar Yadav          RUN_START
255104        STRIKER       Axar Patel                RUN_END
256007        NON_STRIKER   Suryakumar Yadav          RUN_END
256182        BOWLER        Naseem Shah               BOWL_START
256192        BOWLER        Naseem Shah               BOWL_END
256198        STRIKER       Axar Patel                BAT_START
256210        STRIKER       Axar Patel                BAT_END
256211        STRIKER       Axar Patel                RUN_START
256214        FIELDER       Shadab Khan               CATCH
256233        NON_STRIKER   Suryakumar Yadav          RUN_START
257869        NON_STRIKER   Suryakumar Yadav          RUN_END
258447        STRIKER       Axar Patel                RUN_END
258629        BOWLER        Naseem Shah               BOWL_START
258633        BOWLER        Naseem Shah               BOWL_END
258645        STRIKER       Suryakumar Yadav          BAT_START
258666        STRIKER       Suryakumar Yadav          BAT_END
258669        STRIKER       Suryakumar Yadav          RUN_START
258670        FIELDER       Imad Wasim                CATCH
258726        NON_STRIKER   Axar Patel                RUN_START
260689        STRIKER       Suryakumar Yadav          RUN_END
261100        NON_STRIKER   Axar Patel                RUN_END
261275        BOWLER        Naseem Shah               BOWL_START
261285        BOWLER        Naseem Shah               BOWL_END
261296        STRIKER       Axar Patel                BAT_START
261326        STRIKER       Axar Patel                BAT_END
261329        STRIKER       Axar Patel                RUN_START
261334        FIELDER       Azam Khan                 CATCH
261335        NON_STRIKER   Suryakumar Yadav          RUN_START
263086        NON_STRIKER   Suryakumar Yadav          RUN_END
263619        STRIKER       Axar Patel                RUN_END
263815        BOWLER        Naseem Shah               BOWL_START
263823        BOWLER        Naseem Shah               BOWL_END
263834        STRIKER       Axar Patel                BAT_START
263850        STRIKER       Axar Patel                BAT_END
263852        FIELDER       Babar Azam                CATCH
263852        STRIKER       Axar Patel                RUN_START
263893        NON_STRIKER   Suryakumar Yadav          RUN_START
265227        STRIKER       Axar Patel                RUN_END
265699        NON_STRIKER   Suryakumar Yadav          RUN_END
265970        BOWLER        Haris Rauf                BOWL_START
265979        BOWLER        Haris Rauf                BOWL_END
265992        STRIKER       Suryakumar Yadav          BAT_START
266020        FIELDER       Naseem Shah               CATCH
266023        NON_STRIKER   Axar Patel                RUN_START
266020        STRIKER       Suryakumar Yadav          BAT_END
266038        STRIKER       Suryakumar Yadav          RUN_START
267338        NON_STRIKER   Axar Patel                RUN_END
267769        STRIKER       Suryakumar Yadav          RUN_END
267958        BOWLER        Haris Rauf                BOWL_START
267964        BOWLER        Haris Rauf                BOWL_END
267970        STRIKER       Kuldeep Yadav             BAT_START
267983        STRIKER       Kuldeep Yadav             BAT_END
267986        STRIKER       Kuldeep Yadav             RUN_START
267987        FIELDER       Shaheen Afridi            CATCH
267989        NON_STRIKER   Axar Patel                RUN_START
269949        NON_STRIKER   Axar Patel                RUN_END
270775        STRIKER       Kuldeep Yadav             RUN_END
271013        BOWLER        Haris Rauf                BOWL_START
271022        BOWLER        Haris Rauf                BOWL_END
271026        STRIKER       Kuldeep Yadav             BAT_START
271034        STRIKER       Kuldeep Yadav             BAT_END
271036        STRIKER       Kuldeep Yadav             RUN_START
271038        FIELDER       Shaheen Afridi            CATCH
271130        NON_STRIKER   Axar Patel                RUN_START
272899        STRIKER       Kuldeep Yadav             RUN_END
273219        NON_STRIKER   Axar Patel                RUN_END
273586        BOWLER        Haris Rauf                BOWL_START
273597        BOWLER        Haris Rauf                BOWL_END
273656        STRIKER       Kuldeep Yadav             BAT_START
273703        STRIKER       Kuldeep Yadav             BAT_END
273706        NON_STRIKER   Axar Patel                RUN_START
273706        FIELDER       Shaheen Afridi            CATCH
273706        STRIKER       Kuldeep Yadav             RUN_START
275486        NON_STRIKER   Axar Patel                RUN_END
275495        STRIKER       Kuldeep Yadav             RUN_END
275705        BOWLER        Haris Rauf                BOWL_START
275715        BOWLER        Haris Rauf                BOWL_END
275720        STRIKER       Axar Patel                BAT_START
275728        STRIKER       Axar Patel                BAT_END
275730        STRIKER       Axar Patel                RUN_START
275738        FIELDER       Mohammad Wasim Jr.        CATCH
275788        NON_STRIKER   Kuldeep Yadav             RUN_START
277735        NON_STRIKER   Kuldeep Yadav             RUN_END
278320        STRIKER       Axar Patel                RUN_END
278531        BOWLER        Haris Rauf                BOWL_START
278540        BOWLER        Haris Rauf                BOWL_END
278553        STRIKER       Axar Patel                BAT_START
278585        STRIKER       Axar Patel                BAT_END
278587        STRIKER       Axar Patel                RUN_START
278591        FIELDER       Shadab Khan               CATCH
278745        NON_STRIKER   Kuldeep Yadav             RUN_START
281091        NON_STRIKER   Kuldeep Yadav             RUN_END
281439        STRIKER       Axar Patel                RUN_END
282203        BOWLER        Shadab Khan               BOWL_START
282213        BOWLER        Shadab Khan               BOWL_END
282222        STRIKER       Kuldeep Yadav             BAT_START
282250        STRIKER       Kuldeep Yadav             BAT_END
282251        FIELDER       Mohammad Rizwan           CATCH
282253        STRIKER       Kuldeep Yadav             RUN_START
282265        NON_STRIKER   Axar Patel                RUN_START
283471        NON_STRIKER   Axar Patel                RUN_END
284232        STRIKER       Kuldeep Yadav             RUN_END
284475        BOWLER        Shadab Khan               BOWL_START
284483        BOWLER        Shadab Khan               BOWL_END
284490        STRIKER       Mohammed Siraj            BAT_START
284500        STRIKER       Mohammed Siraj            BAT_END
284502        STRIKER       Mohammed Siraj            RUN_START
284506        FIELDER       Iftikhar Ahmed            CATCH
284531        NON_STRIKER   Axar Patel                RUN_START
286441        STRIKER       Mohammed Siraj            RUN_END
286615        NON_STRIKER   Axar Patel                RUN_END
286833        BOWLER        Shadab Khan               BOWL_START
286843        BOWLER        Shadab Khan               BOWL_END
286851        STRIKER       Mohammed Siraj            BAT_START
286896        STRIKER       Mohammed Siraj            BAT_END
286899        STRIKER       Mohammed Siraj            RUN_START
286911        FIELDER       Mohammad Rizwan           CATCH
287023        NON_STRIKER   Axar Patel                RUN_START
288423        STRIKER       Mohammed Siraj            RUN_END
288598        NON_STRIKER   Axar Patel                RUN_END
288775        BOWLER        Shadab Khan               BOWL_START
288778        BOWLER        Shadab Khan               BOWL_END
288795        STRIKER       Axar Patel                BAT_START
288810        STRIKER       Axar Patel                BAT_END
288812        STRIKER       Axar Patel                RUN_START
288816        FIELDER       Naseem Shah               CATCH
288819        NON_STRIKER   Mohammed Siraj            RUN_START
290164        STRIKER       Axar Patel                RUN_END
291655        NON_STRIKER   Mohammed Siraj            RUN_END
291828        BOWLER        Shadab Khan               BOWL_START
291832        BOWLER        Shadab Khan               BOWL_END
291842        STRIKER       Axar Patel                BAT_START
291866        STRIKER       Axar Patel                BAT_END
291868        STRIKER       Axar Patel                RUN_START
291872        FIELDER       Babar Azam                CATCH
291885        NON_STRIKER   Mohammed Siraj            RUN_START
293753        STRIKER       Axar Patel                RUN_END
294899        NON_STRIKER   Mohammed Siraj            RUN_END
295064        BOWLER        Shadab Khan               BOWL_START
295071        BOWLER        Shadab Khan               BOWL_END
295081        STRIKER       Axar Patel                BAT_START
295104        STRIKER       Axar Patel                BAT_END
295106        NON_STRIKER   Mohammed Siraj            RUN_START
295110        FIELDER       Iftikhar Ahmed            CATCH
295107        STRIKER       Axar Patel                RUN_START
296459        NON_STRIKER   Mohammed Siraj            RUN_END
297249        STRIKER       Axar Patel                RUN_END
297499        BOWLER        Imad Wasim                BOWL_START
297505        BOWLER        Imad Wasim                BOWL_END
297509        STRIKER       Mohammed Siraj            BAT_START
297527        STRIKER       Mohammed Siraj            BAT_END
297530        STRIKER       Mohammed Siraj            RUN_START
297531        FIELDER       Naseem Shah               CATCH
297545        NON_STRIKER   Axar Patel                RUN_START
298884        STRIKER       Mohammed Siraj            RUN_END
298908        NON_STRIKER   Axar Patel                RUN_END
299083        BOWLER        Imad Wasim                BOWL_START
299086        BOWLER        Imad Wasim                BOWL_END
299090        STRIKER       Axar Patel                BAT_START
299194        STRIKER       Axar Patel                BAT_END
299197        FIELDER       Babar Azam                CATCH
299197        STRIKER       Axar Patel                RUN_START
299225        NON_STRIKER   Mohammed Siraj            RUN_START
301732        NON_STRIKER   Mohammed Siraj            RUN_END
301996        STRIKER       Axar Patel                RUN_END
302152        BOWLER        Imad Wasim                BOWL_START
302162        BOWLER        Imad Wasim                BOWL_END
302164        STRIKER       Axar Patel                BAT_START
302177        STRIKER       Axar Patel                BAT_END
302179        STRIKER       Axar Patel                RUN_START
302185        FIELDER       Mohammad Rizwan           CATCH
302257        NON_STRIKER   Mohammed Siraj            RUN_START
303946        NON_STRIKER   Mohammed Siraj            RUN_END
304477        STRIKER       Axar Patel                RUN_END
304655        BOWLER        Imad Wasim                BOWL_START
304663        BOWLER        Imad Wasim                BOWL_END
304668        STRIKER       Axar Patel                BAT_START
304679        STRIKER       Axar Patel                BAT_END
304681        STRIKER       Axar Patel                RUN_START
304682        FIELDER       Naseem Shah               CATCH
304706        NON_STRIKER   Mohammed Siraj            RUN_START
307736        STRIKER       Axar Patel                RUN_END
307774        NON_STRIKER   Mohammed Siraj            RUN_END
307948        BOWLER        Imad Wasim                BOWL_START
307958        BOWLER        Imad Wasim                BOWL_END
307966        STRIKER       Mohammed Siraj            BAT_START
307984        STRIKER       Mohammed Siraj            BAT_END
307987        STRIKER       Mohammed Siraj            RUN_START
307989        NON_STRIKER   Axar Patel                RUN_START
307990        FIELDER       Haris Rauf                CATCH
309502        NON_STRIKER   Axar Patel                RUN_END
310164        STRIKER       Mohammed Siraj            RUN_END
310319        BOWLER        Imad Wasim                BOWL_START
310325        BOWLER        Imad Wasim                BOWL_END
310335        STRIKER       Axar Patel                BAT_START
310349        STRIKER       Axar Patel                BAT_END
310351        STRIKER       Axar Patel                RUN_START
310352        NON_STRIKER   Mohammed Siraj            RUN_START
310359        FIELDER       Fakhar Zaman              CATCH
312803        NON_STRIKER   Mohammed Siraj            RUN_END
313157        STRIKER       Axar Patel                RUN_END
315861        BOWLER        Jasprit Bumrah            BOWL_START
315869        BOWLER        Jasprit Bumrah            BOWL_END
315885        STRIKER       Mohammad Rizwan           BAT_START
315925        STRIKER       Mohammad Rizwan           BAT_END
315927        STRIKER       Mohammad Rizwan           RUN_START
315930        NON_STRIKER   Babar Azam                RUN_START
315933        FIELDER       Hardik Pandya             CATCH
316017        DEADLOCK      Mohammad Rizwan           RUNOUT
316051        STRIKER       Mohammad Rizwan           RUN_END
316077        NON_STRIKER   Babar Azam                RUN_END
316255        BOWLER        Jasprit Bumrah            BOWL_START
316263        BOWLER        Jasprit Bumrah            BOWL_END
316269        STRIKER       Fakhar Zaman              BAT_START
316292        STRIKER       Fakhar Zaman              BAT_END
316293        FIELDER       Mohammed Siraj            CATCH
316296        STRIKER       Fakhar Zaman              RUN_START
316418        NON_STRIKER   Babar Azam                RUN_START
318608        STRIKER       Fakhar Zaman              RUN_END
318696        NON_STRIKER   Babar Azam                RUN_END
318897        BOWLER        Jasprit Bumrah            BOWL_START
318900        BOWLER        Jasprit Bumrah            BOWL_END
318916        STRIKER       Babar Azam                BAT_START
